No,DateTime,cargo,Charging,Discharging,PackVolt,Current,Protect,Cell01,Cell02,Cell03,Cell04,Cell05,Cell06,Cell07,Cell08,Cell09,Cell10,Cell11,Cell12,Cell13,Cell14,Temp01,Temp02,Temp03,Temp04,FAN0,FAN1,BAL0,BAL1
399,2025.03.02 16:50:41,8,ON,ON,52.609,-3.567,0,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,3.766,19,19,19,19,OFF,OFF,0,0
400,2025.03.02 16:50:42,8,ON,ON,52.705,-3.157,0,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,19,19,19,19,OFF,OFF,0,0
401,2025.03.02 16:50:43,8,ON,ON,52.66,-3.215,0,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,19,19,19,19,OFF,OFF,0,0
402,2025.03.02 16:50:44,8,ON,ON,52.646,-2.726,0,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,19,19,19,19,OFF,OFF,0,0
403,2025.03.02 16:50:45,8,ON,ON,52.675,-3.132,0,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,19,19,19,19,OFF,OFF,0,0
404,2025.03.02 16:50:46,8,ON,ON,52.702,-2.881,0,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,19,19,19,19,OFF,OFF,0,0
405,2025.03.02 16:50:47,8,ON,ON,52.617,-3.754,0,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,19,19,19,19,OFF,OFF,0,0
406,2025.03.02 16:50:48,8,ON,ON,52.628,-3.526,0,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,19,19,19,19,OFF,OFF,0,0
407,2025.03.02 16:50:49,8,ON,ON,52.709,-3.008,0,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,3.769,19,19,19,19,OFF,OFF,0,0
408,2025.03.02 16:50:50,8,ON,ON,52.66,-3.846,0,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,19,19,19,19,OFF,OFF,0,0
409,2025.03.02 16:50:51,8,ON,ON,52.682,-3.342,0,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,19,19,19,19,OFF,OFF,0,0
410,2025.03.02 16:50:52,8,ON,ON,52.806,-2.126,0,3.778,3.778,3.778,3.778,3.778,3.778,3.778,3.778,3.778,3.778,3.778,3.778,3.778,3.778,19,19,19,19,OFF,OFF,0,0
411,2025.03.02 16:50:53,8,ON,ON,52.704,-3.472,0,3.754,3.754,3.754,3.754,3.754,3.754,3.754,3.754,3.754,3.754,3.754,3.754,3.754,3.754,19,19,19,19,OFF,OFF,0,0
412,2025.03.02 16:50:54,8,ON,ON,52.793,-2.151,0,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,19,19,19,19,OFF,OFF,0,0
413,2025.03.02 16:50:55,8,ON,ON,52.805,-2.186,0,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,19,19,19,19,OFF,OFF,0,0
414,2025.03.02 16:50:56,8,ON,ON,52.805,-2.186,0,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,19,19,19,19,OFF,OFF,0,0
415,2025.03.02 16:50:57,8,ON,ON,52.706,-2.631,0,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,19,19,19,19,OFF,OFF,0,0
416,2025.03.02 16:50:58,8,ON,ON,52.736,-2.602,0,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,19,19,19,19,OFF,OFF,0,0
417,2025.03.02 16:50:59,8,ON,ON,52.735,-2.792,0,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,19,19,19,19,OFF,OFF,0,0
418,2025.03.02 16:51:00,8,ON,ON,52.807,-2.212,0,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,19,19,19,19,OFF,OFF,0,0
419,2025.03.02 16:51:01,8,ON,ON,52.827,-2.091,0,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,19,19,19,19,OFF,OFF,0,0
420,2025.03.02 16:51:02,8,ON,ON,52.831,-2.097,0,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,19,19,19,19,OFF,OFF,0,0
421,2025.03.02 16:51:03,8,ON,ON,52.812,-2.097,0,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,19,19,19,19,OFF,OFF,0,0
422,2025.03.02 16:51:04,8,ON,ON,52.821,-1.977,0,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,3.775,19,19,19,19,OFF,OFF,0,0
423,2025.03.02 16:51:05,8,ON,ON,52.851,-1.913,0,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,3.782,19,19,19,19,OFF,OFF,0,0
424,2025.03.02 16:51:06,8,ON,ON,52.84,-2.069,0,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,19,19,19,19,OFF,OFF,0,0
425,2025.03.02 16:51:07,8,ON,ON,52.759,-2.913,0,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,3.767,19,19,19,19,OFF,OFF,0,0
426,2025.03.02 16:51:08,8,ON,ON,52.84,-1.961,0,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,19,19,19,19,OFF,OFF,0,0
427,2025.03.02 16:51:09,8,ON,ON,52.85,-1.834,0,3.784,3.784,3.784,3.784,3.784,3.784,3.784,3.784,3.784,3.784,3.784,3.784,3.784,3.784,19,19,19,19,OFF,OFF,0,0
428,2025.03.02 16:51:10,8,ON,ON,52.775,-2.329,0,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,19,19,19,19,OFF,OFF,0,0
429,2025.03.02 16:51:11,8,ON,ON,52.828,-2.132,0,3.784,3.784,3.784,3.784,3.784,3.784,3.784,3.784,3.784,3.784,3.784,3.784,3.784,3.784,19,19,19,19,OFF,OFF,0,0
430,2025.03.02 16:51:12,8,ON,ON,52.881,-1.669,0,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,3.783,19,19,19,19,OFF,OFF,0,0
