No,DateTime,Cargo,Charging,Discharging,PackVolt,Current,Protect,Cell01,Cell02,Cell03,Cell04,Cell05,Cell06,Cell07,Cell08,Cell09,Cell10,Cell11,Cell12,Cell13,Cell14,Temp01,Temp02,Temp03,Temp04,FAN0,FAN1,BAL0,BAL1
1053,2025.03.02 17:02:15,4,ON,ON,52.074,-3.63,0,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,19,19,19,19,OFF,OFF,0,0
1054,2025.03.02 17:02:16,4,ON,ON,52.118,-3.205,0,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,19,19,19,19,OFF,OFF,0,0
1055,2025.03.02 17:02:17,4,ON,ON,52.11,-3.548,0,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,19,19,19,19,OFF,OFF,0,0
1056,2025.03.02 17:02:18,4,ON,ON,52.091,-3.05,0,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,19,19,19,19,OFF,OFF,0,0
1057,2025.03.02 17:02:19,4,ON,ON,52.125,-3.465,0,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,19,19,19,19,OFF,OFF,0,0
1058,2025.03.02 17:02:20,4,ON,ON,52.125,-3.465,0,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,3.727,19,19,19,19,OFF,OFF,0,0
1059,2025.03.02 17:02:21,4,ON,ON,52.092,-3.833,0,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,19,19,19,19,OFF,OFF,0,0
1060,2025.03.02 17:02:22,4,ON,ON,52.087,-3.024,0,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,19,19,19,19,OFF,OFF,0,0
1061,2025.03.02 17:02:23,4,ON,ON,52.1,-3.148,0,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,19,19,19,19,OFF,OFF,0,0
1062,2025.03.02 17:02:24,4,ON,ON,52.11,-3.405,0,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,19,19,19,19,OFF,OFF,0,0
